nid	mid	fields
1439123106028	1434200840257	[$]d\sigma&nbsp;[/$] acting on a surface S&nbsp;	is invariant under a Euclidean change of coordinates
1438134837820	1434200840257	multiplier sequence	Diagonal matrix representation of a linear operator
1439123177919	1434200840257	Integration by parts	[$]\int_\Sigma \left( f\frac{\partial g}{\partial x_i} + g \frac{\partial f}{\partial x_i} \right)dx = \int_{\partial \Sigma} fgn_i d\sigma[/$]<div>where [$]n_i=n\dot e_i[/$] is the ith component of the outward pointing normal vector, and [$]\sigma[/$] is the surface measure on [$]\partial \Sigma[/$].</div>
1438156153913	1434200840257	Coordinate Basis	
1440255352058	1434200840257	difference between&nbsp;[$]\bigtriangledown[/$] and&nbsp;[$]\partial[/$]	
1439093071010	1434200840257	g(v1+v2,v3+v4)	=g(v1,v1)+g(v2,v2) (why????)
1438156394751	1434200840257	Tangent Field	
1440253878628	1434200840257	Space/time/null vectors	
1442058748978	1434200840257	non-crossing rules	
1434202791751	1434200840257	[$]\text{lim inf}_{n\to\infty}x_n[/$]	[$]\text{lim}_{n\to\infty}(\text{inf}_{m\geq n}x_m)[/$]
1434202881209	1434200840257	f is lebesgue integrable iff	|f| is integrable
1434202934728	1434200840257	[$]\chi_{B_\epsilon(0)}(x)[/$]	[$]\chi_{B_1(0)}\left(\frac{x}{\epsilon}\right)[/$]
1434203262170	1434200840257	Consider all open subsets of X. How does this relate to a topology?	The union of any number of open sets is in this, and the intersection of a funite numebr is also in this. Don't forget the empty set.
1434203348731	1434200840257	Homeomorphism	Bijection
1434203373686	1434200840257	Measurable Function	finite valued, and the preimage of every open/closed set is measurable.
1434203384443	1434200840257	[$]E_k\searrow E[/$]	[$]E=\cap_{k=1}^{\infty}E_k \text{ and } E_k \supset E_{k+1}[/$]
1434203748655	1434200840257	Dense in L<sup>1</sup>	[$]\forall f\in L^1 \;\; \forall \epsilon&gt;0\;\exists g \text{ integrable s.t. } ||f-g||&lt;\epsilon[/$]
1434204007187	1434200840257	[$]\int x^n[/$]	
1434204023915	1434200840257	[$]E_k \nearrow E[/$]	[$]E=\cup_{k=1}^{\infty}E_k \text{ and }E_k\subset E_{k+1}[/$]
1434204115587	1434200840257	[$]E_k\searrow E \text{ and } m(E_k)&lt;\infty[/$]	<div>[$]E_k\supset E_{k+1}[/$]</div><div>[$]E=\cap_{n=1}^\infty E_n[/$]</div>[$]m(E)=lim_{n\to\infty}m(E_n)[/$]
1434204212964	1434200840257	[$]\int cos(t) dt[/$]	sin(t)
1434204252179	1434200840257	[$]\frac{d}{dt}sin(t)[/$]	cos(t)
1434235330000	1434200840257	f is supported on E	[$]x \notin E \iff f(x)=0[/$]
1434235448378	1434200840257	A closed set can be written as the countable union of compact sets	[$]F=\cup_{i=1}^{\infty}F\cap B_i(0)[/$]
1434235533533	1434200840257	Exterior Measure	[$]m_{*}(E)=inf\Sigma_{j=1}^{\infty}|Q_j|[/$]
1434235626856	1434200840257	Lebegue measurable iff	[$]\exists O\text{ open, }E\subset O \text{ s.t. } m_{*}(O-E)\leq \epsilon[/$]
1434235727785	1434200840257	[$]\int_E dx[/$]	=m(E)
1434235953992	1434200840257	m(E)	[$]\int_E dx[/$]
1434235980343	1434200840257	f integrable&nbsp;[$]\forall \epsilon&gt;0 \exists \delta&gt;0 m(E)&lt;\delta \implies[/$]	[$]\int_E|f|&lt;\epsilon[/$]
1434236066738	1434200840257	Describe how you could create a topology (T) on a set X.	1. Get yourself some sets and the emptyset, and the whole set. (T<sub>0</sub>)<div>2.find the union of any number of these sets</div><div>3. find the intersection of finitely many of these sets.</div><div>4. Add these to T and repeat 2 and 3.</div>
1434236197987	1434200840257	1st countable base	[$]\forall x \in X \exists {N_i}_{i=1}^\infty \text{ s.t. for any neighbourhood U of x } \exists N_i\subset U [/$]
1434236268778	1434200840257	A is a dense set	Any neighbourhood of any point in the space contains a point in A.
1434236277316	1434200840257	A, B, A+B measurable	[$]m(A+B)^{1/d}\geq m(A)^{1/d}+m(B)^{1/d}[/$]
1434236368281	1434200840257	Urysohn's Lemma -&gt; function in a metric	[$]f(x)=\frac{d(x,A)}{d(x,A)+d(x,B)}[/$]
1434236461906	1434200840257	Urysohn's Lemma	Normal iff<div>For any two closed sets A, B [$]\exists f cts:X\to\mathbb{R} \text{ s.t. }f(A)=0 f(B)=1[/$]</div>
1434236663803	1434200840257	[$]\forall \epsilon&gt;0\;\; \exists \text{Cubic Covering of E}[/$]	[$]\Sigma_{j=1}^\infty m_{*}(Q_j)\leq m_{*}(E)+\epsilon[/$]
1434236699316	1434200840257	A union of measurable sets	is measurable if there are countably many
1434236780418	1434200840257	2nd Countable space	The topology has a countable base
1434236789966	1434200840257	Sequentially Compact	Every sequence has a convergent subsequence
1434236946582	1434200840257	Continutity (Topology)	1. Every open set has an open preimage<div>2. Every closed set has a closed preimage</div><div>3.&nbsp;[$]\forall A\subset X, f(\overline{A})=\overline{f(A)}[/$]</div><div>4.&nbsp;[$]\forall \epsilon &gt;0 \exists \delta&gt;0 d(x,y)&lt;\delta \implies &nbsp;d(f(x),f(y))&lt;\epsilon&nbsp;[/$]</div>
1434236995526	1434200840257	Open Set - metric space	[$]\forall x \in A \;\; \exists r_x&gt;0\;\;B_{r_x}(x)\subset A[/$]
1434237077758	1434200840257	f integrable	[$]\int f&lt;\infty[/$]
1434237106066	1434200840257	supp(f)	[$]{x:f(x)\neq0}[/$]
1434237141599	1434200840257	[$]\int f(x)=\int f(x-a) =[/$]	[$]|\delta|^d \int f(\delta x)[/$]
1434237231183	1434200840257	[$]\int f(x) = |\delta|^d \int f(\delta x) = [/$]	[$]\int f(x-a)[/$]
1434237266494	1434200840257	Examples of Dense Function	Cts functions, step functions, simple functions
1434237300088	1434200840257	Simple Vs Step Functions	Step - R a rectangle, E_k has finite measure:<div>[$]\psi = \Sigma_{n=1}^N a_k \chi_{R_k}[/$]</div><div>Simple E any (open??) set:</div><div>[$]\psi = \Sigma_{n=1}^N a_k \chi_{E_k}[/$]</div>
1434237450935	1434200840257	f(x-y) is measurable on R<sup>d</sup>xR<sup>d</sup> if	f(x) is measurable R<sup>d</sup>
1434237509553	1434200840257	Tonelli's Theorem	non-negative functions
1434237767145	1434200840257	Induced Topology	For some function, it is forced to be continuous over the whole space.<div>i.e. for any open set, the preimage is defined to be open.</div>
1434237803703	1434200840257	L'Hopital's Rule	
1434237824464	1434200840257	Metric Topology	Every open ball in the space
1434237929967	1434200840257	[$]\int \frac{1}{\sqrt{x}}[/$]	
1434237997527	1434200840257	f measurable (sequence of simple functions)	[$]\exists \{ \psi_k \}_{k=1}^\infty[/$], simple function.<div>[$]|\psi_k|\leq |\psi_{k+1}(x)|[/$]</div><div>[$]lim_{k\to\infty}\psi_k(x)=f(x)[/$]</div>
1434238137409	1434200840257	Diameter of a set	[$]\delta(A)=sup_{x,y\in A} d(x,y)[/$]
1434238226067	1434200840257	|f_n(x)|&lt;g(x), g integrable	[$]\int f_n \to \int f[/$]
1434238274908	1434200840257	m(E) - lines	[$]\int m(E^y)dy[/$]
1434238451226	1434200840257	What is the Lebesgue Integral of a Simple Function?	[$]\int \psi(x)dx=\Sigma_{k=1}^M a_k m(F_k)[/$]
1434238542899	1434200840257	Connected	There are no two open, disjoint sets whose union is the space.
1434238555965	1434200840257	Tietze Extension Theorem	A is a closed set in a normal topological space (S,[$]\tau[/$]).<div>f cts: A-&gt;R</div><div>Then there is a continuous extension to the function, g, which maps to the whole space such that:</div><div>[$]\forall s \in A: f(s)=g(s)[/$]</div>
1434238572878	1434200840257	Continuous function (metric)	[$]\forall \epsilon&gt;0 \exists \delta &gt;0 \text{ s.t. } |x-y|&lt;\delta \implies |f(x)-f(y)|&lt;\epsilon[/$]
1434238739055	1434200840257	Ball in a metric space	[$]B_r(x)=\{ y\in Y | d(x,y)\leq r \}[/$]
1434238836028	1434200840257	Continuous image of a connected space	is connected
1434238857108	1434200840257	Quotent Topology	Consider&nbsp;[$]f:X\to Y \;\; \forall U\subset Y,\;\;\; U \text{open} \iff f^{-1}(U) \text{open}[/$]
1434238948633	1434200840257	Characteristic Function	[$]\chi_E(x)=\left\{&nbsp;\frac{1 \;\; x\in E}{0 \;\; x\notin E}&nbsp;\right.&nbsp;[/$]
1434239059074	1434200840257	Monotone Convergence Theorem	[$]f_k\nearrow f[/$]<div>[$]f\geq 0[/$]</div><div>[$]\implies lim_{n\to\infty}\int f_n = \int f[/$]</div>
1434239121481	1434200840257	<div>[$]A_k=\{ x:2^k&lt;|x|&lt;2^{k+1} \}[/$]</div>[$]\chi_{A_k} = [/$]	[$]\chi_{A_0}\left(\frac{x}{2^k}\right)[/$]
1434239302345	1434200840257	Normal	2 closed sets - can draw disjoint neighbourhoods around them
1434239311713	1434200840257	Closure of a set	take the union of all points which have a neighbourhood which intersects with the set.
1434239347158	1434200840257	Compact Hausdorff	Normal
1434239353754	1434200840257	[$]limsup_{n\to\infty}x_n[/$]	[$]lim_{n\to\infty} \left( sup_{m\geq n} x_m &nbsp;\right)[/$]
1434240976920	1434200840257	The integral of the infinite sum	is the infinite sum of the integral
1434241016662	1434200840257	[$]f_n&gt;o,\;\;\; lim f_n=f[/$]	[$]\int f \leq liminf_{n\to\infty}\int f_n[/$]
1434241077648	1434200840257	Fubini's Theorem	Integrable
1434241147339	1434200840257	x is a point of Lebesgue density of E	[$]x\in B,\;\;\;&nbsp;lim_{m(B)\to 0}\frac{m(B\cap E)}{m(B)}=1[/$]
1434241241018	1434200840257	Compact (Topology)	Every cover has a finite subcover
1434241261931	1434200840257	Continuous image of a compact space	Compact
1434241317572	1434200840257	Interior Point	[$]x\in A,\;\;\; \exists \delta&gt;0 B_\delta(x_0)\subset A[/$]
1434241392089	1434200840257	Base	Arbitrary unions span the entire topology
1434241406223	1434200840257	Give a counter example:<div>[$]lim\int \neq \int lim [/$]</div>	
1434241548167	1434200840257	Regular Space	Given a point and a closed set, there are disjoint neighbourhoods around each of them.
1434241614124	1434200840257	[$]\forall \epsilon &gt; 0 \exists \delta&gt;0:\;\;m(E)&lt;\delta[/$]	[$]\int_E |f|&lt;\epsilon[/$]
1434241735858	1434200840257	Separate	Not Connected<div>Two non-empty, open, disjoint sets. The union is the whole space/set.</div>
1434241748329	1434200840257	[$]\frac{d}{dt} cos(t)[/$]	-sin(t)
1434241778560	1434200840257	[$]\int sin(t) dt[/$]	-cos(t)
1434241796651	1434200840257	Hausdorff Space	Two points have disjoint neighbourhoods
1434241816981	1434200840257	[$]\int_E \psi(x)dx[/$]	[$]\int \psi(x)\chi_E(x)dx[/$]
1434241891843	1434200840257	Open set and Closed Cubes	Countable union of almost disjoint cubes
1434241949999	1434200840257	Tychonoff	For 2 disjoint points, you can draw a neighbourhood around one and it will miss the other
1434242011782	1434200840257	[$]E\Delta F[/$]	[$](E-F)\cup (F-E)[/$]
1434242083743	1434200840257	Fubini's Theorem vs Tonelli's Theorem	Fubini - integrable<div>Tonelli - non-negative</div>
1434242132475	1434200840257	[$]E_k\nearrow E[/$]	<div>[$]E=\cup_{n=1}^\infty E_k[/$]</div><div>[$]E_k\subset E_{k+1}[/$]</div>[$]m(E) = lim_{n\to\infty}m(E_n)[/$]
1434242185847	1434200840257	Discrete Topology	[$]2^{\{X\}}[/$]<div>Every possible set.</div>
1434242286357	1434200840257	Bounded Set	The set has a finite diameter.
1434242327881	1434200840257	m(E) finite, [$](E\Delta F)[/$]	<div>[$]\exists F=\cup_{j=1}^N Q_j[/$]</div>[$]m(E\Delta F)\leq\epsilon[/$]
1434242474214	1434200840257	Separable	Countable dense subset
1434242528247	1434200840257	Definition of a Topology	1. empty set, and space are elements<div>2. Arbitrary union is an element</div><div>3. Finite intersection is an element</div>
1434242608262	1434200840257	m(E) finite	[$]\exists K \text{ compact, &nbsp;} K\subset E, \;\; m(E-K)\leq\epsilon[/$]
1434242680210	1434200840257	Base of a Topology	Arbitrary unions span the entire topology
1434247331265	1434200840257	Surjection	<div>f:X-&gt;Y</div>onto<div>[$]\forall y\in Y \exists x\in X : y=f(x)[/$]<br /><div><br /></div></div>
1434247417800	1434200840257	Injection	<div>One-to-one</div><div>[$]\forall x,y \in X, f(x)=f(y)\implies x=y[/$]</div>
1434247855558	1434200840257	[$]m(A\sqcup B)[/$]	[$]=m(A)+m(B)[/$]<div>(any countable union)</div>
1434283578532	1434200840257	MCT vs DCT	MCT - 0&lt;f_n&lt;f_{n+1}<div><div>DCT - |f_n|&lt;g, g integrable</div></div>
1434203227923	1434200840257	Dominated Convergence Theorem	<div>[$]|f_n(x)|\leq g(x) \implies \\<div>lim_{n\to\infty}\int |f_n-f|=0 \iff lim_{n\to\infty}\int f_n = \int f</div>[/$]<br /><div><br /></div></div>
1437984991712	1434200840257	Definition of a Hilbert Space	A vector space over the complex plane.<div>f-&gt;(f,g) is linear for every fixed g.</div><div>[$](f,g)=\bar{((f,g)}[/$]</div><div>(f,f)&gt;0 (=0 iff f=0)</div><div>Cauchy Schwartz</div><div>Triangle Inequality</div><div>Complete in the induced Metric</div><div>Separable</div>
1437985049065	1434200840257	Cauchy Schwartz Inequality	|(f,g)|&lt;=||f|| ||g||
1437985200576	1434200840257	Separable	Countable dense subset
1437985203125	1434200840257	Definition of Orthogonal	(f,g)=0
1437985284426	1434200840257	Pythagoras's Theorem Conditions	All are orthoginal
1437985314419	1434200840257	(f,g+h)	
1437985322319	1434200840257	(f+g, h)	
1437985328331	1434200840257	Orthonormal	[$]e_k, e_j are orthoginal,&nbsp;<div>(e_k,e_j)=\delta_{k,j}[/$]</div>
1437985436140	1434200840257	Equivalent properties that an orthonormal set may have.	<div>(i) finite linear combinations of elements in {e_k} are dense.</div>(ii) if (f,e)=0 for all e, then f=0<div>(iii)&nbsp;[$]S_N(f)=\Sigma_{k=1}^N a_k e_k \;\; where \;\; a_k=(f,e_k), then S_N\to f as N\to \infty[/$]</div><div>(iv) [$]a_k=(f,e_k) \implies ||f||^2 = \Sigma_{n=1}^\infty |a_k|^2[/$]</div>
1437985910220	1434200840257	Bessel's inequality	<div>[$]a_k = (f,e_k)[/$]</div>[$]\sigma_{n=1}^\infty|a_k|^2\leq ||f||^2[/$]
1438081508969	1434200840257	Parseval's Identity	
1438081558851	1434200840257	Linearly Independent	
1438081582316	1434200840257	Unitary	U<sup>-1</sup>=U*
1438081631315	1434200840257	Unitarily equivalent	
1438081653398	1434200840257	Unitarily Isomorphic/equivalent	there is a unitary transformation between two hilbert spaces
1438081662781	1434200840257	Any two infinite dimensional hilbert spaces are	unitarily equivalent
1438081702591	1434200840257	Any two finite dimensional hilbert spaces are unitarily equivalent iff	they have the same dimension
1438081749873	1434200840257	Parseval's Relation	
1438082483764	1434200840257	radial limit	
1438082522116	1434200840257	Hardy Space	
1438082570303	1434200840257	L^2 vs l^2	
1438082580828	1434200840257	parallelogram law	
1438082909458	1434200840257	Orthogonal compliment of A	[$]\left\{ f | (f,a)=0 \;\;\forall a\in A \right\} [/$]
1438082934107	1434200840257	Orthoginal Projection	[$]P^2=P[/$]<div>[$]P=P^*[/$]</div>
1438082958457	1434200840257	Dirichlet Kernel	
1438083012866	1434200840257	A linear opperator is bounded if&nbsp;	
1438083089920	1434200840257	The norm of a linear transformation	
1438083101917	1434200840257	Definition of continuous linear transformation	
1438083172394	1434200840257	A linear operator is bounded iff	it is continuous
1438083189744	1434200840257	A linear transformation is continuous iff	it is bounded
1438133452268	1434200840257	Riesz representation theorem	every continuous linear functional is given by the inner product with a fixed vector.
1438133732166	1434200840257	Linear functional	A continuous linear map:&nbsp;[$]H\to \mathbb{C}[/$]
1438133743792	1434200840257	Adjoint	
1438134406063	1434200840257	symmetric (linear transform)	T=T*
1438134429296	1434200840257	A matrix is diagonalised WRT the basis if	
1438134828365	1434200840257	eigen values/vectors	
1438134844827	1434200840257	||T|| = &nbsp;(T a linear transformation)	[$]sup_k|\lambda_k|[/$]
1438135038110	1434200840257	if [$]f=\sigma_{k=1}^\infty a_k \psi_k,\;\; Tf\[/$]	[$]Tf=\sigma_{k=1}^\infty a_k \lambda_k\psi_k[/$]
1438135172243	1434200840257	T* multiplier sequence	[$]\{ \overline{\lambda_k} \}[/$]
1438135214611	1434200840257	T is unitary iff	[$]|\lambda|=1 \forall k[/$]
1438135298005	1434200840257	T is an orthogonal projection iff	[$]\lambda_k=0\;\;or\;\;1 \forall k[/$]
1438135352968	1434200840257	Integral Operator	
1438135567757	1434200840257	Kernal of an Integral Operator	The kernal is K(x,y) in:<div>[$]\int K(x,y) f(x) dx[/$]<br /><div><br /></div></div>
1438135778684	1434200840257	Hilbert-Schmidt Operator	Integral operator whose kernal is in L<sup>2</sup>
1438136043290	1434200840257	A property of the norm of a hilbert-schmidt operator	[$]||T||\leq||K||_{L^2}[/$]
1438136130171	1434200840257	The adjoint of a hilbert schmidt operator	If T has a kernal&nbsp;&nbsp;K(x,y)<div>T* has a kernal [$]\overline{K(y,x)}[/$]&nbsp;<div>(notice x and y are swapped)</div></div>
1438136298800	1434200840257	the unit ball is compact	iff dimension is finite
1438137477313	1434200840257	Compact	every sequence has a convergent subsequence
1438137514693	1434200840257	A linear operator is compact if&nbsp;	<div>The closure of the transformation acting on the unit ball is compact.</div>
1438137641447	1434200840257	T bounded linear operator, S compact	TS and ST are compact
1438137776547	1434200840257	T_n a family of compact linear operators, with ||T_n-T||-&gt;0	T compact
1438137818138	1434200840257	If T is compact, there exists a sequence {T_n}	{T_n} have finite rank and ||T_n-T||-&gt;0
1438137867924	1434200840257	T* is compact iff	T is compact
1438137880787	1434200840257	T can be diagonalised, T is compact iff	[$]|\lambda_k|\to 0[/$]
1438137988369	1434200840257	Every hilbert schmidt operator is&nbsp;	compact
1438138004318	1434200840257	Spectral Theorem	T compact, self-adjoint operator<div>Then there is an orthonormal basis of H which are all eigenvalues, and the eigenvalues tend to 0.</div>
1438138342760	1434200840257	Hermitian	
1438138368377	1434200840257	The spectrum of T	
1438138382818	1434200840257	two eigen vectors on a bounded symmetric linear operator	are orthogonal if they have distinct eigen values
1438138881317	1434200840257	T !=0, is symmetric and compact. An eigen value for T is	either ||T|| or -||T||
1438437474218	1434200840257	Adjoint Operator	(i) (Tf,g)=(f,T*g)<div>(ii) ||T||=||T*||</div><div>(iii) (T*)*=T</div>
1438438028677	1434200840257	Mean Value Property	exists c such that:<div>[$]\frac{f(b)-f(a)}{b-a}=f'(c)[/$]</div>
1438438046718	1434200840257	Maximum Principle	
1438438067878	1434200840257	How to make an orthonormal basis	Gram Schmidt Process
1438438346219	1434200840257	Linear Functional	
1438438771432	1434200840257	Rank	
1438438823814	1434200840257	Support of a function	
1438438962090	1434200840257	Compactly supported	
1438438980640	1434200840257	L^p Norm	
1438439002897	1434200840257	Holder's Inequality	
1438439027495	1434200840257	MCT, BCT, DCT	
1438439047511	1434200840257	Fubini's and Tonelli's Theorem	
1438439071526	1434200840257	Absolutely Continuous	
1439121347936	1434200840257	support of&nbsp;[$]\psi (x)[/$]	the closure of the set where&nbsp;[$]\psi (x) \neq 0[/$]
1439121461644	1434200840257	[$]L^p[/$] norm	[$]||f||_{L^p(E)}:=\left( \int_E |f(x)|^pdx \right)^{1/p}[/$]
1439121552313	1434200840257	[$]\phi(x):R^n\to R[/$] is continuous and compactly supported	it is [$]L^p[/$] for&nbsp;[$]1\leq p\leq \infty[/$]
1439121706398	1434200840257	Holder's Ineqality	if&nbsp;[$]p^{-1}+q^{-1}=1[/$]:<div>[$]|\int_Ef(x)g(x)dx \leq ||f||_{L^p(E)} ||g||_{L^p(E)}[/$]</div>
1439121887621	1434200840257	Fubini-Tonelli Theorem	f is non negative and measurable<div>OR</div><div>[$]f\in L^1[/$]:</div><div>[$]\int\int f(x,y)dydx=\int\int f(x,y)dxdy[/$]</div>
1439122131245	1434200840257	An absolutely convergent function	is differentiable a.e. x<div><br /></div><div>if the derivative is zero a.e, then the function is a constant.</div>
1439122198009	1434200840257	the derivative of an absolutely convergent function	[$]F(x)-F(a)=\int_a^xF'(y)dy \\<div>\implies[/$]</div><div>for any&nbsp;[$]f(x), F(x):=\int_a^xf(y)dy[/$] is absolutely continuous and&nbsp;[$]F'(x)=f(x)[/$] a.e.</div><div><div><br /></div></div>
1439122339250	1434200840257	Conditions for differentiating under the integral sign	(i) f(x,-) is a measurable function for every x<div>(ii) partial derivatives of x exist and are continuous for all (x,y) - (if x a vector, this applies to each component).</div><div>(iii) [$]|\partial_{x_i}f(x,y)|\leq g(y)[/$] for some [$]g\in L^1[/$]</div><div>Then:</div><div>[$]\frac{\partial}{\partial x_i}\int f(x,y)dy=\int \frac{\partial f}{\partial x_i} (x,y) dy[/$]</div>
1439122645071	1434200840257	Change of Variable Formula	[$]R\in\mathbb{R}^n[/$] a rectangle, [$]F\in C^1:R\to \mathbb{R}^n[/$], and any continuous function [$]f[/$]:<div><br /></div><div>[$]\int_{F(R)} f(y)dy = \int_R (f\circ F)(x)|detDF(x)|dx[/$]</div>
1439122840171	1434200840257	Jacobian Matrix	DF
1439122868144	1434200840257	DF	Jacobian Matrix
1439122889426	1434200840257	Surface Measure	[$]d\sigma = \sqrt{ 1+|\nabla u(x')|^2 }dx'[/$]<div>where</div><div>[$]x'=(x_1...x_{n-1})[/$]</div><div>and [$]x_n[/$] is a function of [$]{x_i}_{i=1}^{n-1}[/$]</div>
1439123170538	1434200840257	Euclidian change of coordinates	
1439176948279	1434200840257	BLT	bounded linear transformation
1440027429526	1434200840257	[$]\oplus[/$]	[$]f\in S\oplus T[/$] can be uniquely written as&nbsp;[$]f=s+t[/$] with the norm given by&nbsp;[$](f1,f2)=(s1,s2)+(t1,t2)[/$]
1440116863882	1434200840257	Range/rank of a BLT<div>Also kernal</div>	
1440121333870	1434200840257	Integral operator finite rank	
1440122175811	1434200840257	holders inequality	
1440122979105	1434200840257	<div>[$]F[/$] = fourier transform</div>[$]F(D_jf)=[/$]	[$]\xi_j Ff[/$]
1440123064202	1434200840257	[$]F[/$] = fourier transform<div>[$]F(x_jf) = [/$]</div>	[$]-D_j Ff[/$]
1440123125990	1434200840257	[$]D_j[/$]	[$]-i\pd_j[/$]
1440257540244	1434200840257	L^p norms	[$](\Sigma |x_n|^p)^{1/p}[/$]
1440257546175	1434200840257	[$]F(D^af)[/$]	[$]=\xi^aFf[/$]
1440257613147	1434200840257	[$]F(x^af)[/$]	[$](-1)^{|a|}D^aFf[/$]
1440257643925	1434200840257	Schwartz Function	
1440257653020	1434200840257	Fourier Transform (our definition)	[$](Ff)(\xi)=\int e^{-i x\cdot \xi}f(x)dx[/$]
1440257680309	1434200840257	Inverse Fourier Transform (our definintion)	[$](G\circ f)(x)=\frac{1}{(2\pi)^n}\int e^{ix\cdot \xi}f(\xi)d\xi[/$]
1440257692579	1434200840257	Convolution definition	
1440257722441	1434200840257	Fourier transform of a convolution	is the product of the fourier transforms
1440257762765	1434200840257	the fourier transform of the product	is the convolution of the fourier transforms, times [$](2\pi)^{-n}[/$]
1440257808931	1434200840257	Bounded Linear Transformation Theorem	S a dense subspace of a hilbert space and T maps from S to another hilbert space. T is a BLT. and for all f in S:<div>[$]||Tf||_{H2}\leq M||f||_{H1}[/$]</div><div><br /></div><div>Then T extends uniquely to a bounded linear transformation between H1 and H2.</div><div><br /></div><div><br /></div>
1440257833153	1434200840257	Parseval's Formula	A,B square integrable, with period of [$]2\pi[/$], and fourier series given by:<div>[$]A(x)=\Sigma_{n=-\infty}^\infty a_n e^{inx}[/$], and likewise for B(x)<div>Then:</div><div>[$]\Sigma_{n=-\infty}^\infty a_n \overline{b_n} = \frac{1}{2\pi}\int_{-\pi}^\pi A(x)\overline{B(x)}dx[/$]<br /><div><br /></div></div></div>
1440257873761	1434200840257	Parallel Law	
1440257885934	1434200840257	Polarization Identity	
1440257894818	1434200840257	[$]D_i[/$]	[$]-i \partial_{x_i}[/$]
1440258083265	1434200840257	Laplacian	
1440296919393	1434200840257	Projection	[$]P^2=P[/$]
1440306606688	1434200840257	Jensen's Inequality (useful example)	[$]b\leq \frac{1}{p}+\frac{b^q}{q}[/$]
1440307326094	1434200840257	Fourier transform of a gaussian	[$]F(e^{-ax^2/2})=\sqrt{\frac{2\pi}{a}}e^{-\xi^2/2a}[/$]<div><br /></div><div>[$]F(e^{-a|x|^2/2})=\left(\frac{2\pi}{a}\right)^{n/2}e^{-|\xi|^2/2a}[/$]</div>
1440370636579	1434200840257	unitary	[$]u^{-1}=u^*[/$]
1440635097260	1434200840257	Holder Inequality, also when is it equality	
1438262427486	1434200840257	Hydrogen energy levels	[$]E=-\frac{E_0}{n^2}[/$]
1438262660690	1434200840257	Selection Rules	The transitions allow the following:<div>F = Total Angular Momentum of the entire atom.</div><div>The final angular momentum can be +-1(polarised light), or the same (light without polarisation)</div><div>[$]\Delta l=0,\pm 1\\</div><div>\Delta m = \pm1[/$]</div>
1438439935984	1434200840257	Zeeman Shift	An emission line splits into a spectrum when in a static magnetic field.
1438439985875	1434200840257	Stark Hamiltonian	eEz<div>e - charge of electron</div><div>E - electric field strength</div><div>z - electron displacement in the z direction</div><div><br /></div><div>This assumes that the electric field points in the z direction, and is uniform across the atom.</div>
1438440005415	1434200840257	Central Field Approximation	Every electron sees the same potential, which is only dependent on the radius.
1438440098345	1434200840257	n m l notation (when looking at the shells, spdf, etc) what are these? How do they relate to the selection rules?	[$]2s^1_{j????????????}[/$]<div>[$]n (l) ^{2*spin=number of electrons}[/$]</div>
1438922898228	1434200840257	Lande g factor	<div>different for spin, total angular momentum, etc.</div><div><br /></div>For magnetic interactions in an atom.<div>[$]g_L=1+\frac{j(j+1)+s(s+1)-l(l+1)}{2j(j+1)}[/$]</div>
1438922907334	1434200840257	stark effect	Emission line splits into a spectrum when in a static electric field
1438922925431	1434200840257	Relationship between coupled and uncoupled state	Sum of clebsch-gordan coefficients with the basis states
1438923410620	1434200840257	Zeeman vs Stark	Zeeman - splitting from magnetic fields<div>Stark - splitting from electric fields</div>
1438928125088	1434200840257	Lande Interval Rule	For weak spin orbit interactions (i.e. independent), then the energy levels of each are split, and the split is proportional to J (total angular momentum of one energy level, and you choose the highest of the two levels)
1440024990339	1434200840257	triplet state	ortho states<div>less energy than para states because less electron interaction<br /><div>aa</div><div>ab+ba/sqrt2</div><div>bb</div></div>
1440025110805	1434200840257	ortho state	triplet state
1440025239938	1434200840257	para state	singlet state<div>more energy than ortho because more electon interaction</div><div>ab-ba/sqrt2</div>
1440025248292	1434200840257	[$]\Delta J[/$] selection rules	0 or&nbsp;[$]\pm1[/$],&nbsp;<div>[$]0\leftrightarrow 0[/$]</div>
1440025392627	1434200840257	Number of microstates	[$]N= {t \choose e} = \frac{t!}{e!(t-e)!}[/$]<div>e = number of electrons</div><div>t = (2(2l+1)</div><div><br /></div>
1440025654577	1434200840257	Hund's Rules	fill up all with spin up first, then go back and fill in with spin down.<div><br /></div><div>e.g. 2p can have 6 electrons, so fill up with 3 up electrons, then 3 down electrons.</div><div>Also, do this one shell at a time.</div>
1440283923349	1434200840257	Aufbau Principle	electrons fill lower enegy levels first
1440283933584	1434200840257	Energy for alkali metals	[$]\frac{-R}{(n-\delta_l)^2}[/$]
1440283965215	1434200840257	Slater Determinant	make a matrix with every electron in every state. The determinant of this is the total wave function.<div>(for n electrons)</div>
1440284072925	1434200840257	Pauli Exclusion Principle:	Total wave function of a system of N electrons must be antisymmetric wrt exchange of electrons (i.e. in both the spacial and spin, coupled variables)
1440284173255	1434200840257	lamb shift, SO, Fine, hyper-fine	What are these, and how are the energy levels changed?
1440284634099	1434200840257	central field hamiltonian	
1440285161181	1434200840257	Central Potential	
1440285168232	1434200840257	LS Coupling	Light atoms, treat spin orbit as a perturbation (as it is much smaller than the remaining hamiltonian)
1440285213426	1434200840257	jj coupling	Heavy atoms, SO dominates over all other (including the standard hamiltonian)
